País;Capital;Continente
Afganistán;Kabul;Asia
Albania;Tirana;Europa
Alemania;Berlín;Europa
Andorra;Andorra la Vieja;Europa
Angola;Luanda;África
Antigua y Barbuda;Saint John;América
Arabia Saudita;Riad;Asia
Argelia;Argel;África
Argentina;Buenos Aires;América
Armenia;Ereván;Asia
Australia;Canberra;Oceanía
Austria;Viena;Europa
Azerbaiyán;Bakú;Asia
Bahamas;Nasáu;América
Bangladés;Daca;Asia
Barbados;Bridgetown;América
Baréin;Manama;Asia
Bélgica;Bruselas;Europa
Belice;Belmopán;América
Benín;Porto-Novo;África
Bielorrusia;Minsk;Europa
Birmania;Naipyidó;Asia
Bolivia;Sucre;América
Bosnia-Herzegovina;Sarajevo;Europa
Botsuana;Gaborone;África
Brasil;Brasilia;América
Brunéi;Bandar Seri Begawan;Asia
Bulgaria;Sofía;Europa
Burkina Faso;Uagadugú;África
Burundi;Buyumbura;África
Bután;Thimphu;Asia
Cabo Verde;Praia;África
Camboya;Nom Pen;Asia
Camerún;Yaundé;África
Canadá;Ottawa;América
Catar;Doha;Asia
Chad;Yamena;África
Chile;Santiago;América
China;Pekín;Asia
Chipre;Nicosia;Europa
Colombia;Bogotá;América
Comoras;Moroni;África
Congo;Brazzaville;África
Corea del Norte;Pionyang;Asia
Corea del Sur;Seúl;Asia
Costa de Marfil;Yamusukro;África
Costa Rica;San José;América
Croacia;Zagreb;Europa
Cuba;La Habana;América
Dinamarca;Copenhague;Europa
Dominica;Roseau;América
Ecuador;Quito;América
Egipto;El Cairo;África
El Salvador;San Salvador;América
Emiratos Árabes Unidos;Abu Dabi;Asia
Eritrea;Asmara;África
Eslovaquia;Bratislava;Europa
Eslovenia;Liubliana;Europa
España;Madrid;Europa
Estados Unidos;Washington D. C.;América
Estonia;Tallin;Europa
Etiopía;Adís Abeba;África
Filipinas;Manila;Asia
Finlandia;Helsinki;Europa
Fiyi;Suva;Oceanía
Francia;París;Europa
Gabón;Libreville;África
Gambia;Banjul;África
Georgia;Tiflis;Asia
Ghana;Accra;África
Granada;Saint George;América
Grecia;Atenas;Europa
Guatemala;Guatemala;América
Guinea;Conakri;África
Guinea Ecuatorial;Malabo;África
Guinea-Bisáu;Bisáu;África
Guyana;Georgetown;América
Haití;Puerto Príncipe;América
Honduras;Tegucigalpa;América
Hungría;Budapest;Europa
India;Nueva Delhi;Asia
Indonesia;Yakarta;Asia
Irak;Bagdad;Asia
Irán;Teherán;Asia
Irlanda;Dublín;Europa
Islandia;Reikiavik;Europa
Islas Marshall;Majuro;Oceanía
Islas Salomón;Honiara;Oceanía
Israel;Jerusalén;Asia
Italia;Roma;Europa
Jamaica;Kingston;América
Japón;Tokio;Asia
Jordania;Amán;Asia
Kazajistán;Astaná;Asia
Kenia;Nairobi;África
Kirguistán;Biskek;Asia
Kiribati;Tarawa;Oceanía
Kosovo;Pristina;Europa
Kuwait;Kuwait City;Asia
Laos;Vientián;Asia
Lesoto;Maseru;África
Letonia;Riga;Europa
Líbano;Beirut;Asia
Liberia;Monrovia;África
Libia;Trípoli;África
Liechtenstein;Vaduz;Europa
Lituania;Vilna;Europa
Luxemburgo;Luxemburgo;Europa
Macedonia;Skopie;Europa
Madagascar;Antananarivo;África
Malasia;Kuala Lumpur;Asia
Malaui;Lilongüe;África
Maldivas;Malé;Asia
Malí;Bamako;África
Malta;La Valeta;Europa
Marruecos;Rabat;África
Mauricio;Port Louis;África
Mauritania;Nuakchot;África
México;México;América
Micronesia;Palikir;Oceanía
Moldavia;Chisináu;Europa
Mónaco;Mónaco;Europa
Mongolia;Ulán Bator;Asia
Montenegro;Podgorica;Europa
Mozambique;Maputo;África
Namibia;Windhoek;África
Nauru;Yaren;Oceanía
Nepal;Katmandú;Asia
Nicaragua;Managua;América
Níger;Niamey;África
Nigeria;Abuya;África
Noruega;Oslo;Europa
Nueva Zelanda;Wellington;Oceanía
Omán;Mascate;Asia
Países Bajos;Ámsterdam;Europa
Pakistán;Islamabad;Asia
Palaos;Melekeok;Oceanía
Palestina;Jerusalén Este;Asia
Panamá;Panamá;América
Papúa Nueva Guinea;Puerto Moresby;Oceanía
Paraguay;Asunción;América
Perú;Lima;América
Polonia;Varsovia;Europa
Portugal;Lisboa;Europa
Reino Unido;Londres;Europa
República Centroafricana;Bangui;África
República Checa;Praga;Europa
República Democrática del Congo;Kinsasa;África
República Dominicana;Santo Domingo;América
Ruanda;Kigali;África
Rumania;Bucarest;Europa
Rusia;Moscú;Europa
Samoa;Apia;Oceanía
San Cristóbal y Nieves;Basseterre;América
San Marino;San Marino;Europa
San Vicente y las Granadinas;Kingstown;América
Santa Lucía;Castries;América
Santo Tomé y Príncipe;Santo Tomé;África
Senegal;Dakar;África
Serbia;Belgrado;Europa
Seychelles;Victoria;África
Sierra Leona;Freetown;África
Singapur;Singapur;Asia
Siria;Damasco;Asia
Somalia;Mogadiscio;África
Sri Lanka;Sri Jayawardenapura Kotte;Asia
Suazilandia;Mbabane;África
Sudáfrica;Pretoria;África
Sudán;Jartum;África
Sudán del Sur;Yuba;África
Suecia;Estocolmo;Europa
Suiza;Berna;Europa
Surinam;Paramaribo;América
Tailandia;Bangkok;Asia
Taiwán;Taipéi;Asia
Tanzania;Dodoma;África
Tayikistán;Dusambé;Asia
Timor Oriental;Dili;Oceanía
Togo;Lomé;África
Tonga;Nukualofa;Oceanía
Trinidad y Tobago;Puerto España;América
Túnez;Túnez;África
Turkmenistán;Asjabad;Asia
Turquía;Ankara;Asia
Tuvalu;Funafuti;Oceanía
Ucrania;Kiev;Europa
Uganda;Kampala;África
Uruguay;Montevideo;América
Uzbekistán;Taskent;Asia
Vanuatu;Port Vila;Oceanía
Vaticano;Vaticano;Europa
Venezuela;Caracas;América
Vietnam;Hanói;Asia
Yemen;Saná;Asia
Yibuti;Yibuti;África
Zambia;Lusaka;África
Zimbabue;Harare;África
